[S]	-151	184	751
[S]	-100	151	733
[S]	-85	133	717
[S]	-151	200	733
[S]	-200	151	699
[S]	-85	118	717
[S]	-151	118	784
[S]	-100	218	733
[S]	-100	151	733
[G]	2012-08-24 15:49:38	N39.806910	W86.158903	51	4
[S]	-118	118	766
[S]	-85	166	699
[S]	-67	166	766
[S]	-85	100	751
[S]	-133	151	733
[S]	-151	184	717
[S]	-166	133	851
[S]	-151	118	833
[S]	-133	267	751
[S]	-51	200	699
[G]	2012-08-24 15:49:39	N39.807031	W86.158901	46	4
[S]	-133	100	733
[S]	-118	133	751
[S]	-51	200	751
[S]	-218	200	751
[S]	-33	85	684
[S]	-218	166	766
[S]	-67	133	717
[S]	-85	166	699
[S]	-85	166	699
[S]	-151	118	766
[G]	2012-08-24 15:49:40	N39.807146	W86.158895	46	4
[S]	-118	200	717
[S]	-133	251	666
[S]	-51	184	751
[S]	-133	85	751
[S]	-51	151	684
[S]	-85	200	733
[S]	-85	151	717
[S]	-85	118	699
[S]	-33	118	699
[S]	-51	151	751
[G]	2012-08-24 15:49:41	N39.807260	W86.158895	42	3
[S]	-33	166	717
[S]	-85	166	733
[S]	67	200	867
[S]	-51	251	684
[S]	0	267	751
[S]	-133	184	766
[S]	-133	151	751
[S]	-133	200	684
[S]	-151	184	800
[S]	-67	166	717
[G]	2012-08-24 15:49:42	N39.807366	W86.158898	41	3
[S]	-118	200	699
[S]	-118	184	766
[S]	-118	133	717
[S]	-133	166	766
[S]	-133	151	784
[S]	-151	200	751
[S]	-118	118	699
[S]	-118	151	684
[S]	-118	151	751
[S]	-100	133	733
[G]	2012-08-24 15:49:43	N39.807471	W86.158900	39	3
[S]	-118	166	751
[S]	-67	151	733
[S]	-67	166	651
[S]	-151	100	751
[S]	-133	100	800
[S]	-100	151	717
[S]	-100	133	733
[S]	-85	85	751
[S]	-85	166	699
[S]	-18	85	633
[G]	2012-08-24 15:49:44	N39.807575	W86.158891	39	4
[S]	-100	151	751
[S]	-67	184	717
[S]	-67	133	751
[S]	-85	133	717
[S]	-118	151	751
[S]	-85	151	784
[S]	-133	184	751
[S]	-33	166	733
[S]	-67	118	717
[S]	-133	118	733
[G]	2012-08-24 15:49:45	N39.807673	W86.158890	37	5
[S]	-133	85	751
[S]	-118	100	766
[S]	-118	118	699
[S]	-100	85	751
[S]	-100	100	699
[S]	-100	67	766
[S]	-100	67	766
[S]	-85	100	717
[S]	-67	100	733
[S]	-100	133	766
[G]	2012-08-24 15:49:46	N39.807776	W86.158905	35	5
[S]	-85	100	684
[S]	-100	151	699
[S]	-85	118	717
[S]	-118	133	751
[S]	-85	118	699
[S]	-100	133	717
[S]	-151	218	733
[S]	-85	151	751
[S]	-100	133	733
[S]	-151	118	733
[G]	2012-08-24 15:49:47	N39.807870	W86.158920	32	3
[S]	-67	184	717
[S]	-151	200	717
[S]	-118	166	717
[S]	-133	133	733
[S]	-118	151	717
[S]	-85	166	733
[S]	-133	218	766
[S]	-100	166	733
[S]	-67	151	733
[S]	-100	166	751
[G]	2012-08-24 15:49:48	N39.807956	W86.158933	30	3
[S]	-100	166	733
[S]	-118	151	733
[S]	-133	151	751
[S]	-100	166	717
[S]	-118	184	717
[S]	-100	184	733
[S]	-133	218	717
[S]	-100	233	733
[S]	-100	267	751
[S]	-118	251	733
[G]	2012-08-24 15:49:49	N39.808035	W86.158935	28	4
[S]	-100	267	733
[S]	-85	267	699
[S]	-85	233	766
[S]	-100	233	751
[S]	-51	267	666
[S]	-118	251	766
[S]	-85	251	733
[S]	-133	251	733
[S]	-67	251	766
[S]	-133	233	717
[G]	2012-08-24 15:49:50	N39.808108	W86.158931	28	4
[S]	-118	233	733
[S]	-51	233	751
[S]	-33	267	751
[S]	-118	300	684
[S]	-33	251	717
[S]	-85	267	766
[S]	-51	233	684
[S]	-67	285	751
[S]	-118	334	684
[S]	-33	218	699
[G]	2012-08-24 15:49:51	N39.808186	W86.158925	30	5
[S]	-133	218	733
[S]	-18	251	684
[S]	-100	218	867
[S]	-166	251	733
[S]	-100	267	717
[S]	-100	334	766
[S]	-67	233	717
[S]	-100	184	717
[S]	-100	300	717
[S]	-100	334	784
[G]	2012-08-24 15:49:52	N39.808275	W86.158923	33	6
[S]	-85	218	766
[S]	-85	267	633
[S]	-100	251	717
[S]	-118	285	766
[S]	-33	200	717
[S]	-33	300	699
[S]	-67	218	717
[S]	-33	251	751
[S]	-118	267	751
[S]	-184	251	717
[G]	2012-08-24 15:49:53	N39.808371	W86.158926	36	6
[S]	-300	385	633
[S]	-133	184	633
[S]	85	133	867
[S]	67	166	818
[S]	-118	184	699
[S]	-85	200	684
[S]	-118	118	733
[S]	-118	184	733
[S]	-118	184	733
[S]	-100	166	784
[G]	2012-08-24 15:49:54	N39.808471	W86.158926	37	5
[S]	-51	166	751
[S]	-100	133	751
[S]	-133	200	733
[S]	-133	166	751
[S]	-133	184	717
[S]	-133	166	766
[S]	-85	200	766
[S]	-100	184	733
[S]	-85	200	717
[S]	-133	233	699
[G]	2012-08-24 15:49:55	N39.808576	W86.158945	38	2
[S]	-100	218	733
[S]	-100	184	766
[S]	-100	218	751
[S]	-133	233	733
[S]	-118	200	717
[S]	-100	184	733
[S]	-100	184	751
[S]	-100	200	751
[S]	-100	184	733
[S]	-85	184	733
[G]	2012-08-24 15:49:56	N39.808676	W86.158953	37	0
[S]	-118	166	717
[S]	-133	184	717
[S]	-100	166	751
[S]	-100	151	733
[S]	0	118	684
[S]	-33	184	733
[S]	-218	166	800
[S]	-151	267	818
[S]	-118	300	699
[S]	-118	151	699
[G]	2012-08-24 15:49:57	N39.808776	W86.158955	37	1
[S]	-85	118	717
[S]	-85	133	684
[S]	-133	151	733
[S]	-151	118	733
[S]	-133	118	733
[S]	-133	184	784
[S]	-133	184	766
[S]	-133	166	717
[S]	-133	166	699
[S]	-85	133	733
[G]	2012-08-24 15:49:58	N39.808878	W86.158950	38	2
[S]	-133	184	766
[S]	-133	200	717
[S]	-118	233	699
[S]	-166	200	766
[S]	-100	218	733
[S]	-85	166	751
[S]	-100	233	751
[S]	-51	218	766
[S]	-100	184	717
[S]	-100	166	733
[G]	2012-08-24 15:49:59	N39.808975	W86.158945	36	3
[S]	-100	233	733
[S]	-85	184	699
[S]	-100	151	751
[S]	-85	200	717
[S]	-118	233	666
[S]	-67	184	751
[S]	-133	251	717
[S]	-85	285	766
[S]	-151	318	818
[S]	-118	218	717
[G]	2012-08-24 15:50:00	N39.809071	W86.158945	37	3
[S]	-18	251	733
[S]	-218	334	684
[S]	-67	251	699
[S]	-67	200	666
[S]	-67	233	833
[S]	-51	318	818
[S]	-151	385	717
[S]	-85	251	684
[S]	-133	218	717
[S]	-100	233	717
[G]	2012-08-24 15:50:01	N39.809171	W86.158941	38	4
[S]	-85	285	751
[S]	-67	251	766
[S]	-67	218	751
[S]	-85	218	733
[S]	0	218	699
[S]	-67	200	751
[S]	-51	200	733
[S]	-100	218	733
[S]	-118	218	699
[S]	-100	184	733
[G]	2012-08-24 15:50:02	N39.809280	W86.158948	40	3
[S]	-67	133	766
[S]	-118	184	766
[S]	-100	151	751
[S]	-85	184	699
[S]	-67	184	666
[S]	-100	118	651
